"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","57","Carpets and other textile floor coverings","A","Annual","A","Annual","PCT","Percent","2017","","","","12.9090909090909"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","57","Carpets and other textile floor coverings","A","Annual","A","Annual","PCT","Percent","2018","","","","12.9090909090909"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","58","Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery","A","Annual","A","Annual","PCT","Percent","2017","","","","10.2473684210526"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","58","Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery","A","Annual","A","Annual","PCT","Percent","2018","","","","10.2473684210526"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","59","Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use","A","Annual","A","Annual","PCT","Percent","2017","","","","9.61111111111111"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","59","Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use","A","Annual","A","Annual","PCT","Percent","2018","","","","9.66666666666667"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","60","Knitted or crocheted fabrics","A","Annual","A","Annual","PCT","Percent","2017","","","","10.2272727272727"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","60","Knitted or crocheted fabrics","A","Annual","A","Annual","PCT","Percent","2018","","","","10.2272727272727"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","61","Articles of apparel and clothing accessories, knitted or crocheted","A","Annual","A","Annual","PCT","Percent","2018","","","","16.2075471698113"
"MFN by detailed HS codes (2,4,6 digit)","HS_A_0010","HS MFN - Simple average ad valorem duty","156","CHN","China","-","","-","HS","Harmonized System","61","Articles of apparel and clothing accessories, knitted or crocheted","A","Annual","A","Annual","PCT","Percent","2017","","","","16.2075471698113"
